Date,Open,High,Low,Close,Adj Close,Volume
5/14/2015,194.240005,199,194.240005,198.899994,198.899994,0
5/15/2015,195.910004,199,195.910004,195.660004,195.660004,0
5/18/2015,194.949997,199,194.839996,198.949997,198.949997,0
5/19/2015,198.020004,198.020004,196.399994,198.949997,198.949997,0
5/20/2015,197.559998,199,196.119995,199.399994,199.399994,0
5/21/2015,196.110001,198.949997,196.110001,198.949997,198.949997,0
5/22/2015,197.339996,199,196.429993,198.949997,198.949997,0
5/25/2015,199.850006,199.850006,195.25,199,199,0
5/26/2015,195.419998,196.139999,195.419998,195.25,195.25,0
5/27/2015,196.720001,196.720001,196.139999,199,199,0
5/28/2015,195.990005,198.949997,195.990005,199,199,0
5/29/2015,195.809998,196.220001,195.809998,199,199,0
6/1/2015,196.320007,198.949997,196.300003,199,199,0
6/2/2015,196.25,198.949997,196.020004,198.949997,198.949997,0
6/3/2015,194.039993,199,194.039993,198.949997,198.949997,0
6/4/2015,193.850006,198.899994,193.850006,199,199,0
6/5/2015,198.759995,199,196.190002,198.899994,198.899994,0
6/8/2015,198.360001,198.570007,196.029999,198.899994,198.899994,0
6/9/2015,193.649994,198.899994,193.649994,198.850006,198.850006,0
6/10/2015,195.809998,198.899994,195.809998,198.899994,198.899994,0
6/11/2015,196.029999,198.899994,195.889999,198.800003,198.800003,0
6/12/2015,196.669998,198.899994,196.449997,198.800003,198.800003,0
6/15/2015,195.779999,198.899994,195.779999,198.899994,198.899994,0
6/16/2015,195.589996,199,195.589996,198.800003,198.800003,0
6/17/2015,196.119995,199,196.119995,198.899994,198.899994,0
6/18/2015,196.169998,198.899994,196.169998,198.800003,198.800003,0
6/19/2015,196.740005,198.899994,196.149994,198.899994,198.899994,0
6/22/2015,195.100006,196.240005,195.100006,195.309998,195.309998,0
6/23/2015,196.320007,199,196.229996,198.899994,198.899994,0
6/24/2015,196.360001,198.949997,196.360001,198.899994,198.899994,0
6/25/2015,196.270004,199,196.270004,198.899994,198.899994,0
6/26/2015,196.229996,198.949997,196.229996,198.949997,198.949997,0
6/29/2015,200.289993,200.289993,196.350006,198.899994,198.899994,0
6/30/2015,194.690002,198.949997,194.690002,198.899994,198.899994,0
7/1/2015,196.240005,199,196.240005,198.899994,198.899994,0
7/2/2015,197.520004,198.850006,196.25,198.949997,198.949997,0
7/3/2015,196.429993,198.949997,196.429993,196.020004,196.020004,0
7/6/2015,197.929993,199,196.240005,198.899994,198.899994,0
7/7/2015,196.039993,196.529999,196.039993,199,199,0
7/8/2015,195.830002,196.089996,195.830002,198.850006,198.850006,0
7/9/2015,195.059998,198.899994,195.059998,198.850006,198.850006,0
7/10/2015,195.949997,198.949997,195.949997,198.899994,198.899994,0
7/13/2015,197.600006,198.850006,196.199997,198.899994,198.899994,0
7/14/2015,197.860001,198.899994,196.330002,198.850006,198.850006,0
7/15/2015,196.839996,198.899994,196.479996,198.899994,198.899994,0
7/16/2015,197.929993,198.850006,196.130005,198.899994,198.899994,0
7/17/2015,198.850006,198.850006,196.440002,198.800003,198.800003,0
7/20/2015,197.449997,198.949997,196.25,197.419998,197.419998,0
7/21/2015,196.330002,198.899994,196.240005,198.899994,198.899994,0
7/22/2015,194.830002,196.270004,194.830002,198.949997,198.949997,0
7/23/2015,196.240005,198.949997,196.160004,198.850006,198.850006,0
7/24/2015,196.369995,198.800003,196.369995,198.850006,198.850006,0
7/27/2015,196.080002,196.110001,196,198.899994,198.899994,0
7/28/2015,195.869995,198.850006,195.869995,198.899994,198.899994,0
7/29/2015,195.910004,198.850006,195.910004,198,198,0
7/30/2015,196.479996,198.850006,196.479996,198.800003,198.800003,0
7/31/2015,196.839996,198.850006,195.330002,198.800003,198.800003,0
8/3/2015,195.270004,199,195.270004,198.800003,198.800003,0
8/4/2015,196.720001,198.899994,196.220001,198.949997,198.949997,0
8/5/2015,198.009995,199,196.429993,198.949997,198.949997,0
8/6/2015,195.339996,195.339996,195.339996,198.949997,198.949997,0
8/7/2015,194.970001,199,194.970001,199,199,0
